,id,median_age,Geographic Area Name,year,total_pop
241,0500000US06111,37.9,"Ventura County, California",2018,848112
242,0500000US06113,31.0,"Yolo County, California",2018,214977
243,0500000US06115,32.5,"Yuba County, California",2018,75493
244,0500000US08001,33.6,"Adams County, Colorado",2018,497115
245,0500000US08003,30.4,"Alamosa County, Colorado",2018,16444
246,0500000US08005,36.5,"Arapahoe County, Colorado",2018,636671
247,0500000US08007,50.6,"Archuleta County, Colorado",2018,12908
248,0500000US08009,47.7,"Baca County, Colorado",2018,3563
249,0500000US08011,41.0,"Bent County, Colorado",2018,5809
250,0500000US08013,36.2,"Boulder County, Colorado",2018,321030
251,0500000US08014,37.7,"Broomfield County, Colorado",2018,66120
252,0500000US08015,49.1,"Chaffee County, Colorado",2018,19164
253,0500000US08017,35.9,"Cheyenne County, Colorado",2018,2039
254,0500000US08019,47.8,"Clear Creek County, Colorado",2018,9379
255,0500000US08021,39.4,"Conejos County, Colorado",2018,8142
256,0500000US08023,51.3,"Costilla County, Colorado",2018,3687
257,0500000US08025,35.6,"Crowley County, Colorado",2018,5630
258,0500000US08027,58.4,"Custer County, Colorado",2018,4640
259,0500000US08029,47.6,"Delta County, Colorado",2018,30346
260,0500000US08031,34.4,"Denver County, Colorado",2018,693417
261,0500000US08033,51.8,"Dolores County, Colorado",2018,1841
262,0500000US08035,38.4,"Douglas County, Colorado",2018,328614
263,0500000US08037,36.5,"Eagle County, Colorado",2018,54357
264,0500000US08039,46.1,"Elbert County, Colorado",2018,25162
265,0500000US08041,34.1,"El Paso County, Colorado",2018,688153
266,0500000US08043,44.9,"Fremont County, Colorado",2018,47002
267,0500000US08045,36.3,"Garfield County, Colorado",2018,58538
268,0500000US08047,45.7,"Gilpin County, Colorado",2018,5924
269,0500000US08049,43.5,"Grand County, Colorado",2018,15066
270,0500000US08051,34.5,"Gunnison County, Colorado",2018,16537
271,0500000US08053,57.5,"Hinsdale County, Colorado",2018,878
272,0500000US08055,55.1,"Huerfano County, Colorado",2018,6583
273,0500000US08057,50.9,"Jackson County, Colorado",2018,1296
274,0500000US08059,40.4,"Jefferson County, Colorado",2018,570427
275,0500000US08061,40.4,"Kiowa County, Colorado",2018,1449
276,0500000US08063,38.5,"Kit Carson County, Colorado",2018,7635
277,0500000US08065,37.8,"Lake County, Colorado",2018,7585
278,0500000US08067,39.9,"La Plata County, Colorado",2018,55101
279,0500000US08069,35.9,"Larimer County, Colorado",2018,338161
280,0500000US08071,46.1,"Las Animas County, Colorado",2018,14179
281,0500000US08073,37.9,"Lincoln County, Colorado",2018,5548
282,0500000US08075,38.4,"Logan County, Colorado",2018,21689
283,0500000US08077,39.1,"Mesa County, Colorado",2018,149998
284,0500000US08079,58.6,"Mineral County, Colorado",2018,823
285,0500000US08081,37.8,"Moffat County, Colorado",2018,13060
286,0500000US08083,44.4,"Montezuma County, Colorado",2018,25909
287,0500000US08085,45.1,"Montrose County, Colorado",2018,41268
288,0500000US08087,36.3,"Morgan County, Colorado",2018,28257
289,0500000US08089,40.2,"Otero County, Colorado",2018,18325
290,0500000US08091,53.0,"Ouray County, Colorado",2018,4722
291,0500000US08093,50.6,"Park County, Colorado",2018,17392
292,0500000US08095,39.0,"Phillips County, Colorado",2018,4318
293,0500000US08097,42.0,"Pitkin County, Colorado",2018,17909
294,0500000US08099,38.0,"Prowers County, Colorado",2018,12052
295,0500000US08101,38.9,"Pueblo County, Colorado",2018,164685
296,0500000US08103,35.9,"Rio Blanco County, Colorado",2018,6465
297,0500000US08105,41.5,"Rio Grande County, Colorado",2018,11351
298,0500000US08107,39.8,"Routt County, Colorado",2018,24874
299,0500000US08109,49.1,"Saguache County, Colorado",2018,6468
300,0500000US08111,52.1,"San Juan County, Colorado",2018,544
301,0500000US08113,41.5,"San Miguel County, Colorado",2018,7968
302,0500000US08115,49.1,"Sedgwick County, Colorado",2018,2350
303,0500000US08117,39.1,"Summit County, Colorado",2018,30429
304,0500000US08119,49.9,"Teller County, Colorado",2018,24113
305,0500000US08121,41.6,"Washington County, Colorado",2018,4840
306,0500000US08123,34.3,"Weld County, Colorado",2018,295123
307,0500000US08125,38.4,"Yuma County, Colorado",2018,10069
308,0500000US09001,40.3,"Fairfield County, Connecticut",2018,944348
309,0500000US09003,40.4,"Hartford County, Connecticut",2018,894730
310,0500000US09005,47.2,"Litchfield County, Connecticut",2018,183031
