,poverty_rate,per_capita_income_2007,year,fips
382,20.2,33282.0,2007,12107.0
383,6.7,63728.0,2007,12109.0
384,10.8,46127.0,2007,12111.0
385,10.7,50935.0,2007,12113.0
386,8.1,50031.0,2007,12115.0
387,9.1,56315.0,2007,12117.0
388,12.9,42828.0,2007,12119.0
389,17.8,36054.0,2007,12121.0
390,18.5,38056.0,2007,12123.0
391,21.5,41124.0,2007,12125.0
392,14.1,42268.0,2007,12127.0
393,11.3,46997.0,2007,12129.0
394,11.8,45288.0,2007,12131.0
395,18.9,34535.0,2007,12133.0
397,20.1,33275.0,2007,13001.0
398,21.0,30431.0,2007,13003.0
399,21.3,31424.0,2007,13005.0
400,26.8,41795.0,2007,13007.0
401,19.3,39180.0,2007,13009.0
402,13.7,43813.0,2007,13011.0
403,11.2,51283.0,2007,13013.0
404,11.6,48366.0,2007,13015.0
405,21.1,31781.0,2007,13017.0
406,18.9,34460.0,2007,13019.0
407,24.2,36954.0,2007,13021.0
408,18.0,38711.0,2007,13023.0
409,16.9,38316.0,2007,13025.0
410,23.4,32302.0,2007,13027.0
411,9.7,60879.0,2007,13029.0
412,23.4,34861.0,2007,13031.0
413,23.7,33142.0,2007,13033.0
414,13.2,46610.0,2007,13035.0
415,31.0,28348.0,2007,13037.0
416,12.1,46583.0,2007,13039.0
417,22.2,31239.0,2007,13043.0
418,17.3,43196.0,2007,13045.0
419,11.8,47022.0,2007,13047.0
420,20.6,39270.0,2007,13049.0
421,16.3,45124.0,2007,13051.0
422,12.9,45308.0,2007,13053.0
423,18.0,33356.0,2007,13055.0
424,6.0,63518.0,2007,13057.0
425,28.6,36158.0,2007,13059.0
426,31.7,26051.0,2007,13061.0
427,13.0,43674.0,2007,13063.0
428,24.0,30119.0,2007,13065.0
429,9.4,64665.0,2007,13067.0
430,21.9,33666.0,2007,13069.0
431,22.2,33024.0,2007,13071.0
432,6.8,68224.0,2007,13073.0
433,22.9,30607.0,2007,13075.0
434,10.1,58627.0,2007,13077.0
435,19.9,42626.0,2007,13079.0
436,25.8,30385.0,2007,13081.0
437,13.4,40654.0,2007,13083.0
438,9.1,56964.0,2007,13085.0
439,22.5,32650.0,2007,13087.0
440,14.4,51753.0,2007,13089.0
441,21.8,32393.0,2007,13091.0
442,26.7,30266.0,2007,13093.0
443,25.3,33073.0,2007,13095.0
444,10.5,55659.0,2007,13097.0
445,28.9,28703.0,2007,13099.0
446,27.1,32430.0,2007,13101.0
447,9.9,54132.0,2007,13103.0
448,16.9,33344.0,2007,13105.0
449,27.0,26223.0,2007,13107.0
450,23.1,34526.0,2007,13109.0
451,15.3,35710.0,2007,13111.0
452,5.3,79166.0,2007,13113.0
453,16.6,42685.0,2007,13115.0
454,5.2,85318.0,2007,13117.0
