,poverty_rate,per_capita_income_2002,fips,year
839,9.9,38268,19071,2002
840,10.4,35026,19073,2002
841,5.0,43304,19075,2002
842,8.7,38413,19077,2002
843,7.7,39658,19079,2002
844,7.2,39510,19081,2002
845,8.6,36863,19083,2002
846,8.7,39669,19085,2002
847,9.1,39968,19087,2002
848,10.1,36043,19089,2002
849,8.8,39187,19091,2002
850,9.6,36592,19093,2002
851,5.8,43844,19095,2002
852,10.2,35927,19097,2002
853,7.1,44005,19099,2002
854,12.9,34363,19101,2002
855,9.9,42781,19103,2002
856,9.2,38290,19105,2002
857,11.0,35411,19107,2002
858,8.8,37242,19109,2002
859,11.9,35770,19111,2002
860,7.0,46741,19113,2002
861,8.8,41004,19115,2002
862,12.1,32402,19117,2002
863,7.7,38234,19119,2002
864,7.0,45133,19121,2002
865,10.4,38018,19123,2002
866,8.0,44065,19125,2002
867,10.1,38839,19127,2002
868,8.1,43017,19129,2002
869,9.0,36633,19131,2002
870,11.0,33581,19133,2002
871,11.5,35219,19135,2002
872,10.8,33887,19137,2002
873,9.6,43729,19139,2002
874,8.2,37641,19141,2002
875,7.6,35473,19143,2002
876,12.0,35098,19145,2002
877,10.0,32884,19147,2002
878,6.6,44853,19149,2002
879,10.0,34101,19151,2002
880,8.0,48887,19153,2002
881,10.1,39934,19155,2002
882,9.1,39507,19157,2002
883,14.3,29734,19159,2002
884,10.3,34832,19161,2002
885,9.7,45217,19163,2002
886,8.1,38787,19165,2002
887,6.8,42417,19167,2002
888,9.7,41671,19169,2002
889,8.7,38676,19171,2002
890,12.7,31732,19173,2002
891,11.4,32784,19175,2002
892,12.4,31610,19177,2002
893,12.5,32769,19179,2002
894,5.7,52587,19181,2002
895,8.0,40833,19183,2002
896,14.2,29722,19185,2002
897,11.2,35814,19187,2002
898,8.0,39633,19189,2002
899,9.0,39432,19191,2002
900,10.8,38156,19193,2002
901,7.5,37122,19195,2002
902,9.0,37323,19197,2002
904,13.8,31307,20001,2002
905,11.6,34250,20003,2002
906,11.5,35515,20005,2002
907,11.8,33688,20007,2002
908,12.2,33556,20009,2002
909,14.6,31433,20011,2002
910,12.6,32820,20013,2002
911,7.8,47877,20015,2002
912,12.4,32605,20017,2002
913,15.0,29656,20019,2002
914,14.8,31027,20021,2002
915,12.0,28276,20023,2002
916,10.7,34067,20025,2002
917,10.3,34508,20027,2002
918,11.8,30884,20029,2002
919,9.3,39373,20031,2002
920,10.3,28875,20033,2002
921,12.7,35486,20035,2002
922,14.9,29865,20037,2002
923,12.6,29855,20039,2002
924,8.9,36201,20041,2002
925,11.3,33270,20043,2002
926,11.4,38936,20045,2002
927,12.4,30307,20047,2002
928,16.5,26508,20049,2002
929,9.8,34112,20051,2002
930,9.5,35396,20053,2002
931,12.7,37149,20055,2002
932,11.7,36465,20057,2002
933,9.7,40037,20059,2002
934,10.4,31986,20061,2002
935,10.4,32949,20063,2002
936,11.5,31171,20065,2002
937,9.1,42259,20067,2002
938,8.5,39781,20069,2002
939,8.8,33277,20071,2002
940,14.0,30145,20073,2002
941,12.6,32445,20075,2002
942,12.2,30677,20077,2002
943,8.6,42226,20079,2002
944,10.1,37747,20081,2002
