,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
148,6728,49.9,59.9,35.8,0.3,0.7,0.0,1.7,2.9,05073
149,16511,50.1,94.7,1.4,0.3,0.1,0.0,3.3,1.6,05075
150,8963,43.2,42.6,55.7,0.3,0.1,0.0,0.7,2.7,05077
151,13278,36.2,65.8,30.2,0.5,0.0,0.0,1.1,4.1,05079
152,12345,52.3,74.6,19.3,1.1,0.3,0.0,2.9,3.7,05081
153,21619,50.7,89.9,1.5,0.8,1.6,0.0,5.4,3.1,05083
154,73163,50.9,88.2,5.5,0.5,1.0,0.2,3.4,4.6,05085
155,16393,49.2,92.4,0.1,0.8,0.8,0.6,3.9,5.8,05087
156,16586,51.6,95.7,0.7,1.0,0.6,0.0,1.9,2.4,05089
157,43515,50.8,69.6,25.0,1.3,0.3,0.1,2.0,3.4,05091
158,41396,51.1,60.2,35.0,0.1,0.5,0.1,3.0,4.4,05093
159,6879,52.1,54.5,42.3,0.7,0.2,0.0,1.9,1.1,05095
160,8964,50.1,92.2,0.3,1.1,0.4,0.0,3.0,4.3,05097
161,8249,49.8,62.6,34.8,0.3,0.1,0.0,2.3,0.0,05099
162,7753,50.6,93.1,0.0,1.7,0.1,0.4,3.8,0.9,05101
163,23597,52.7,56.3,42.6,0.0,0.0,0.0,0.8,2.4,05103
164,10342,48.7,92.4,2.8,0.2,0.1,0.0,2.9,3.1,05105
165,18151,53.0,35.2,63.5,0.0,0.0,0.0,1.0,2.0,05107
166,10714,50.7,88.9,3.8,0.4,0.2,0.0,3.1,6.5,05109
167,23747,51.2,87.1,3.7,0.1,0.0,0.0,8.0,3.2,05111
168,19999,51.3,90.3,0.5,1.6,0.3,0.1,3.7,6.6,05113
169,63926,50.7,89.4,2.7,0.5,1.1,0.0,3.5,9.2,05115
170,8138,50.8,85.9,11.6,0.1,0.2,0.0,1.7,1.8,05117
171,393078,52.3,54.6,37.0,0.4,2.2,0.1,3.3,6.2,05119
172,17934,49.8,93.4,0.9,0.3,0.3,0.6,3.6,2.2,05121
173,25477,44.0,40.2,52.9,0.5,0.7,0.2,3.6,5.3,05123
174,120990,51.1,87.0,7.7,0.3,1.2,0.1,2.7,5.0,05125
175,10269,47.3,87.0,2.2,0.4,1.4,0.0,4.6,7.9,05127
176,7898,50.0,90.9,0.5,3.3,0.4,0.0,4.8,2.6,05129
177,127670,51.1,72.1,6.2,1.1,4.5,0.0,6.3,14.4,05131
178,16947,49.3,62.0,4.6,2.7,0.5,0.5,2.5,33.6,05133
179,17217,50.9,93.8,1.0,0.2,0.0,0.0,4.7,2.4,05135
180,12582,50.6,94.1,0.1,0.4,0.5,0.0,4.3,1.9,05137
181,39089,51.8,64.1,33.0,0.7,0.8,0.0,1.0,4.0,05139
182,16578,50.6,94.4,0.6,1.3,0.1,0.1,2.7,3.2,05141
183,236198,50.0,75.2,3.4,0.8,2.7,2.6,6.1,16.9,05143
184,78725,51.1,90.9,4.3,0.5,0.8,0.0,2.7,4.4,05145
185,6477,53.6,69.8,29.2,0.0,0.0,0.0,1.0,0.2,05147
186,21425,49.4,77.8,2.1,0.4,1.2,0.0,1.6,20.5,05149
187,1661584,50.8,38.0,10.3,0.7,31.3,0.8,7.9,22.2,06001
188,1159,46.6,57.2,0.9,31.1,0.5,0.3,9.6,15.8,06003
189,39023,46.0,84.7,2.4,0.7,1.0,0.1,7.3,14.3,06005
190,223344,50.6,80.0,1.7,1.2,4.8,0.3,7.0,16.8,06007
191,45828,50.0,87.4,1.0,1.1,1.9,0.0,6.4,12.5,06009
192,21491,48.8,79.2,1.5,1.1,0.9,0.1,10.7,59.7,06011
193,1147788,51.1,53.0,8.6,0.5,17.4,0.5,9.1,25.8,06013
194,27692,46.8,72.2,2.7,7.0,3.2,0.2,7.8,20.0,06015
195,190345,50.2,86.4,0.8,0.7,4.8,0.3,4.5,13.0,06017
196,990204,50.1,60.3,4.7,1.2,10.6,0.2,8.5,53.4,06019
197,28060,48.8,80.1,0.8,2.2,3.1,0.0,3.2,42.2,06021
198,136101,50.4,78.7,1.1,4.5,2.9,0.4,7.9,11.9,06023
199,180580,48.7,56.7,2.6,1.2,1.4,0.1,10.8,84.7,06025
200,17930,48.5,76.4,0.5,10.7,1.6,0.2,7.8,23.0,06027
201,892458,48.8,67.6,5.4,0.9,4.9,0.2,8.4,53.9,06029
202,151090,44.9,63.4,6.5,1.5,3.7,0.1,8.8,54.9,06031
203,64276,50.1,75.8,2.5,4.0,1.5,0.0,5.0,21.3,06033
204,30600,34.5,79.0,8.9,2.6,1.5,0.8,4.4,19.3,06035
205,10040682,50.7,47.8,8.1,0.8,14.8,0.2,7.3,48.3,06037
206,155925,51.7,60.7,3.2,1.6,2.2,0.1,7.6,58.3,06039
