year,fips,covid_cases
2021,8067,7586
2022,8067,13818
2020,8069,14985
2021,8069,49193
2022,8069,90162
2020,8071,502
2021,8071,2355
2022,8071,3774
2020,8073,780
2021,8073,1435
2022,8073,2211
2020,8075,3215
2021,8075,5316
2022,8075,7708
2020,8077,8941
2021,8077,30260
2022,8077,45234
2020,8079,42
2021,8079,152
2022,8079,241
2020,8081,538
2021,8081,2262
2022,8081,3212
2020,8083,1219
2021,8083,4212
2022,8083,6479
2020,8085,2092
2021,8085,7010
2022,8085,9904
2020,8087,2110
2021,8087,4221
2022,8087,5986
2020,8089,1602
2021,8089,3342
2022,8089,4557
2020,8091,155
2021,8091,580
2022,8091,892
2020,8093,382
2021,8093,1923
2022,8093,2939
2020,8095,278
2021,8095,614
2022,8095,895
2020,8097,1042
2021,8097,3982
2022,8097,6693
2020,8099,994
2021,8099,2039
2022,8099,2717
2020,8101,13103
2021,8101,31340
2022,8101,51316
2020,8103,266
2021,8103,1283
2022,8103,1806
2020,8105,378
2021,8105,1962
2022,8105,3059
2020,8107,1031
2021,8107,4219
2022,8107,7032
2020,8109,252
2021,8109,841
2022,8109,1206
2020,8111,28
2021,8111,119
2022,8111,209
2020,8113,391
2021,8113,1505
2022,8113,2333
2020,8115,127
2021,8115,364
2022,8115,490
2020,8117,2114
2021,8117,6670
2022,8117,10819
2020,8119,974
2021,8119,3539
2022,8119,5268
2020,8121,346
2021,8121,772
2022,8121,1069
2020,8123,19777
2021,8123,57068
2022,8123,92400
2020,8125,542
2021,8125,1476
2022,8125,2024
2020,9001,55645
2021,9001,140261
2022,9001,225955
2020,9003,46201
2021,9003,124545
2022,9003,199444
2020,9005,7422
2021,9005,22448
2022,9005,35277
2020,9007,6479
2021,9007,18868
2022,9007,32609
2020,9009,46892
2021,9009,133669
2022,9009,216210
2020,9011,10480
2021,9011,36134
2022,9011,61648
2020,9013,4831
2021,9013,14589
2022,9013,23494
2020,9015,5066
2021,9015,17794
2022,9015,27822
2020,10001,9019
2021,10001,33461
2022,10001,55291
2020,10003,32686
2021,10003,100020
2022,10003,161968
2020,10005,14758
2021,10005,42695
2022,10005,66803
2020,11001,28758
2021,11001,94286
2022,11001,156802
2020,12001,15674
2021,12001,41206
2022,12001,73353
2020,12003,2453
2021,12003,6060
2022,12003,8890
2020,12005,11753
2021,12005,32283
2022,12005,47484
2020,12007,2163
2021,12007,5388
2022,12007,7723
2020,12009,20778
2021,12009,83648
2022,12009,145889
2020,12011,136038
2021,12011,391238
2022,12011,660417
2020,12013,1208
2021,12013,3027
2022,12013,4187
2020,12015,7282
2021,12015,24131
2022,12015,38985
2020,12017,6567
2021,12017,20936
2022,12017,31740
2020,12019,11114
2021,12019,34622
2022,12019,56295
2020,12021,22267
2021,12021,59199
2022,12021,89622
2020,12023,5922
2021,12023,15150
2022,12023,21694
2020,12027,2883
2021,12027,6991
2022,12027,9780
2020,12029,1099
2021,12029,2984
2022,12029,4120
2020,12031,60324
2021,12031,168518
2022,12031,268039
2020,12033,22008
2021,12033,54968
2022,12033,80920
2020,12035,3637
2021,12035,14948
2022,12035,24123
2020,12037,892
2021,12037,2243
2022,12037,3160
2020,12039,3915
2021,12039,8893
2022,12039,14077
2020,12041,994
2021,12041,3211
2022,12041,4693
2020,12043,769
2021,12043,1478
2022,12043,2059
2020,12045,1317
2021,12045,2998
2022,12045,4415
2020,12047,1236
2021,12047,2768
2022,12047,3908
2020,12049,2084
2021,12049,6145
2022,12049,8907
2020,12051,3274
2021,12051,8122
2022,12051,12110
2020,12053,7230
2021,12053,29215
2022,12053,44838
2020,12055,4918
2021,12055,16343
2022,12055,25326
2020,12057,76221
2021,12057,253260
2022,12057,403467
2020,12059,1628
2021,12059,3904
2022,12059,5568
2020,12061,6757
2021,12061,22684
2022,12061,35464
2020,12063,4596
2021,12063,10239
2022,12063,15232
2020,12065,981
2021,12065,2523
2022,12065,4085
2020,12067,1418
2021,12067,2232
2022,12067,2822
2020,12069,15201
2021,12069,56730
2022,12069,91543
2020,12071,40169
