,fips,year,employed_persons,unemployment_rate,total_pop,poverty_rate,per_capita_income_2007,per_capita_income_2006,per_capita_income_2005,per_capita_income_2008,per_capita_income_2003,per_capita_income_2004,per_capita_income_2009,per_capita_income_2002
312,8125,2000,4905.0,2.6,9823.0,,,,,,,,,
313,9001,2000,443029.0,1.9,884364.0,,,,,,,,,
314,9003,2000,424221.0,2.3,858416.0,,,,,,,,,
315,9005,2000,98819.0,1.8,182597.0,,,,,,,,,
316,9007,2000,84884.0,1.9,155593.0,,,,,,,,,
317,9009,2000,409754.0,2.3,824911.0,,,,,,,,,
318,9011,2000,130662.0,2.1,259848.0,,,,,,,,,
319,9013,2000,75314.0,1.7,136863.0,,,,,,,,,
320,9015,2000,56909.0,2.3,109185.0,,,,,,,,,
321,10001,2000,60946.0,3.9,127229.0,,,,,,,,,
322,10003,2000,260831.0,3.5,501837.0,,,,,,,,,
323,10005,2000,76410.0,3.7,157307.0,,,,,,,,,
324,11001,2000,292299.0,5.7,572046.0,,,,,,,,,
325,12001,2000,113652.0,3.0,218611.0,,,,,,,,,
326,12003,2000,10168.0,3.0,22374.0,,,,,,,,,
327,12005,2000,69241.0,4.7,148393.0,,,,,,,,,
328,12007,2000,10274.0,3.8,26064.0,,,,,,,,,
329,12009,2000,225478.0,3.7,477819.0,,,,,,,,,
330,12011,2000,831089.0,3.7,1630600.0,,,,,,,,,
331,12013,2000,4953.0,4.8,13040.0,,,,,,,,,
332,12015,2000,53565.0,3.7,142266.0,,,,,,,,,
333,12017,2000,42052.0,4.7,118649.0,,,,,,,,,
334,12019,2000,72244.0,3.1,141629.0,,,,,,,,,
335,12021,2000,112737.0,3.8,254015.0,,,,,,,,,
336,12023,2000,24879.0,4.0,56571.0,,,,,,,,,
337,12027,2000,12792.0,4.5,32196.0,,,,,,,,,
338,12029,2000,4942.0,4.5,13758.0,,,,,,,,,
339,12031,2000,398144.0,3.4,779800.0,,,,,,,,,
340,12033,2000,128223.0,4.1,294725.0,,,,,,,,,
341,12035,2000,20427.0,3.6,50579.0,,,,,,,,,
342,12037,2000,4276.0,4.0,9839.0,,,,,,,,,
343,12039,2000,19317.0,4.0,44950.0,,,,,,,,,
344,12041,2000,6252.0,3.6,14443.0,,,,,,,,,
345,12043,2000,3927.0,4.8,10579.0,,,,,,,,,
346,12045,2000,4972.0,6.1,14566.0,,,,,,,,,
347,12047,2000,4374.0,5.4,13330.0,,,,,,,,,
348,12049,2000,10204.0,6.0,26769.0,,,,,,,,,
349,12051,2000,15251.0,7.3,36255.0,,,,,,,,,
350,12053,2000,47837.0,4.4,131390.0,,,,,,,,,
351,12055,2000,31852.0,4.8,87417.0,,,,,,,,,
352,12057,2000,516062.0,3.3,1003435.0,,,,,,,,,
353,12059,2000,7431.0,4.9,18553.0,,,,,,,,,
354,12061,2000,48860.0,5.2,113323.0,,,,,,,,,
355,12063,2000,18665.0,4.6,46701.0,,,,,,,,,
356,12065,2000,5893.0,3.7,12891.0,,,,,,,,,
357,12067,2000,2631.0,4.1,7011.0,,,,,,,,,
