,poverty_rate,per_capita_income_2005,fips,year
375,18.1,33029,12093.0,2005
376,12.7,44183,12095.0,2005
377,13.9,40978,12097.0,2005
378,11,48086,12099.0,2005
379,11.3,39327,12101.0,2005
380,11.2,40669,12103.0,2005
381,13.9,39114,12105.0,2005
382,20.9,30958,12107.0,2005
383,7.5,57277,12109.0,2005
384,12.3,42048,12111.0,2005
385,9,47005,12113.0,2005
386,9.1,44789,12115.0,2005
387,8.2,52390,12117.0,2005
388,14.4,36194,12119.0,2005
389,17.5,33114,12121.0,2005
390,18.4,32680,12123.0,2005
391,20.3,35592,12125.0,2005
392,11.6,38457,12127.0,2005
393,11.8,41863,12129.0,2005
394,13,38799,12131.0,2005
395,18.8,31104,12133.0,2005
397,20.6,32152,13001.0,2005
398,25.4,27657,13003.0,2005
399,21.8,29342,13005.0,2005
400,25.8,29610,13007.0,2005
401,19.7,36414,13009.0,2005
402,13.3,41783,13011.0,2005
403,10.7,49829,13013.0,2005
404,13.3,47309,13015.0,2005
405,24.6,28009,13017.0,2005
406,17.7,33786,13019.0,2005
407,23.5,34872,13021.0,2005
408,16.8,36643,13023.0,2005
409,15,34189,13025.0,2005
410,23,28244,13027.0,2005
411,10.5,57758,13029.0,2005
412,24.5,31519,13031.0,2005
413,28.8,29434,13033.0,2005
414,12.7,42829,13035.0,2005
415,31.4,26022,13037.0,2005
416,10.8,45987,13039.0,2005
417,23.3,28232,13043.0,2005
418,14.6,43183,13045.0,2005
419,11.4,45840,13047.0,2005
420,24.4,28430,13049.0,2005
421,15.8,42091,13051.0,2005
422,19.5,38835,13053.0,2005
423,18.5,33065,13055.0,2005
424,6,64226,13057.0,2005
425,29,30627,13059.0,2005
426,33,23456,13061.0,2005
427,14,41877,13063.0,2005
428,26.7,27912,13065.0,2005
429,8.7,61771,13067.0,2005
430,23.2,31289,13069.0,2005
431,23.4,29259,13071.0,2005
432,6.9,64514,13073.0,2005
433,20.1,30227,13075.0,2005
434,8.7,55936,13077.0,2005
435,16.4,39750,13079.0,2005
436,29.4,28069,13081.0,2005
437,12.6,38428,13083.0,2005
438,9.6,47925,13085.0,2005
439,22.6,29805,13087.0,2005
440,15.9,47757,13089.0,2005
441,23.2,29741,13091.0,2005
442,22.5,29562,13093.0,2005
443,22.9,35373,13095.0,2005
444,9.7,53034,13097.0,2005
445,28.1,29114,13099.0,2005
446,25.7,30853,13101.0,2005
447,9.6,52520,13103.0,2005
448,19.8,32287,13105.0,2005
449,28.3,26639,13107.0,2005
450,24.4,28201,13109.0,2005
451,13.7,35057,13111.0,2005
452,4.3,77525,13113.0,2005
453,19.3,38105,13115.0,2005
454,5.2,81603,13117.0,2005
455,14.8,34307,13119.0,2005
456,15.9,51882,13121.0,2005
457,13.8,37302,13123.0,2005
