,year,fips,cases_chlamydia,cases_gonorrhea,total_pop
604,2000,4003,0.0,0.0,
605,2000,48079,5.0,4.0,
606,2000,47029,0.0,0.0,
607,2000,4005,0.0,0.0,
608,2000,46029,37.0,2.0,
609,2000,1031,156.0,78.0,
610,2000,13069,0.0,0.0,
611,2000,47031,0.0,0.0,
612,2000,20031,7.0,1.0,
613,2000,48081,90.0,22.0,
614,2000,1033,100.0,93.0,
615,2000,29051,163.0,75.0,
616,2000,48083,11.0,3.0,
617,2000,17029,188.0,35.0,
618,2000,31037,7.0,1.0,
619,2000,35007,4.0,1.0,
620,2000,45029,97.0,33.0,
621,2000,12021,526.0,158.0,
622,2000,48085,641.0,236.0,
623,2000,48087,2.0,1.0,
624,2000,51570,24.0,11.0,
625,2000,48089,30.0,11.0,
626,2000,13071,0.0,0.0,
627,2000,5027,127.0,79.0,
628,2000,12023,144.0,60.0,
629,2000,13073,0.0,0.0,
630,2000,36021,0.0,0.0,
631,2000,41009,49.0,2.0,
632,2000,42037,0.0,0.0,
633,2000,53013,4.0,0.0,
634,2000,55021,0.0,0.0,
635,2000,39029,77.0,21.0,
636,2000,37047,0.0,0.0,
637,2000,6011,0.0,0.0,
638,2000,48091,83.0,28.0,
639,2000,20033,0.0,0.0,
640,2000,40031,670.0,321.0,
641,2000,48093,25.0,2.0,
642,2000,72045,0.0,0.0,
643,2000,48095,3.0,0.0,
644,2000,22029,0.0,0.0,
645,2000,1035,32.0,10.0,
646,2000,8021,0.0,0.0,
647,2000,6013,0.0,0.0,
648,2000,56009,8.0,1.0,
649,2000,5029,31.0,19.0,
650,2000,13075,0.0,0.0,
651,2000,17031,24655.0,17605.0,
652,2000,27031,0.0,1.0,
653,2000,48097,70.0,26.0,
654,2000,29053,17.0,6.0,
655,2000,33007,22.0,1.0,
656,2000,41011,65.0,3.0,
657,2000,1037,23.0,27.0,
658,2000,28029,142.0,96.0,
659,2000,72047,0.0,0.0,
660,2000,46031,33.0,5.0,
661,2000,36023,0.0,0.0,
662,2000,48099,130.0,48.0,
663,2000,39031,46.0,11.0,
664,2000,8023,0.0,1.0,
665,2000,48101,1.0,1.0,
666,2000,40033,11.0,4.0,
667,2000,27033,7.0,2.0,
668,2000,51580,23.0,6.0,
669,2000,1039,87.0,55.0,
670,2000,28031,55.0,33.0,
671,2000,13077,0.0,0.0,
672,2000,20035,68.0,12.0,
673,2000,53015,122.0,9.0,
674,2000,40035,16.0,1.0,
675,2000,51045,3.0,0.0,
676,2000,5031,129.0,75.0,
677,2000,48103,3.0,0.0,
678,2000,37049,0.0,0.0,
679,2000,5033,29.0,10.0,
680,2000,13079,0.0,0.0,
681,2000,19047,24.0,0.0,
682,2000,17033,15.0,3.0,
683,2000,18025,0.0,0.0,
684,2000,20037,90.0,14.0,
685,2000,26039,12.0,1.0,
686,2000,29055,18.0,1.0,
687,2000,39033,53.0,16.0,
688,2000,42039,0.0,0.0,
689,2000,55023,0.0,0.0,
690,2000,40037,115.0,40.0,
691,2000,1041,34.0,16.0,
692,2000,13081,0.0,0.0,
693,2000,5035,331.0,183.0,
694,2000,21055,5.0,0.0,
695,2000,47033,0.0,0.0,
696,2000,48105,11.0,2.0,
697,2000,41013,34.0,5.0,
698,2000,56011,4.0,0.0,
699,2000,48107,35.0,18.0,
700,2000,5037,71.0,26.0,
701,2000,27035,48.0,3.0,
702,2000,8025,0.0,1.0,
703,2000,48109,11.0,0.0,
704,2000,72049,0.0,0.0,
705,2000,1043,114.0,23.0,
706,2000,51047,103.0,37.0,
707,2000,17035,10.0,2.0,
708,2000,21057,6.0,0.0,
709,2000,23005,316.0,31.0,
710,2000,37051,0.0,0.0,
711,2000,34011,412.0,217.0,
712,2000,42041,0.0,0.0,
713,2000,47035,0.0,0.0,
714,2000,51049,19.0,5.0,
715,2000,31039,8.0,0.0,
716,2000,37053,0.0,0.0,
717,2000,35009,214.0,104.0,
718,2000,41015,12.0,0.0,
719,2000,8027,0.0,3.0,
720,2000,16037,0.0,0.0,
721,2000,30017,0.0,0.0,
722,2000,31041,10.0,0.0,
723,2000,40039,73.0,24.0,
724,2000,46033,15.0,6.0,
725,2000,39035,5228.0,4413.0,
726,2000,13083,0.0,0.0,
727,2000,29057,7.0,1.0,
728,2000,49009,0.0,0.0,
729,2000,27037,322.0,95.0,
730,2000,31043,67.0,8.0,
731,2000,1045,128.0,67.0,
732,2000,48111,13.0,4.0,
733,2000,1047,476.0,259.0,
734,2000,5039,53.0,13.0,
735,2000,19049,41.0,4.0,
736,2000,29059,10.0,3.0,
737,2000,48113,9976.0,7315.0,
738,2000,55025,0.0,0.0,
739,2000,30019,0.0,0.0,
740,2000,51590,416.0,231.0,
741,2000,37055,0.0,0.0,
742,2000,39037,42.0,5.0,
743,2000,45031,235.0,183.0,
744,2000,42043,0.0,0.0,
745,2000,37057,0.0,0.0,
746,2000,47037,0.0,0.0,
747,2000,37059,0.0,0.0,
748,2000,18027,0.0,0.0,
749,2000,21059,225.0,45.0,
750,2000,29061,14.0,1.0,
751,2000,19051,3.0,0.0,
752,2000,49011,147.0,11.0,
753,2000,46035,29.0,3.0,
754,2000,31045,40.0,2.0,
755,2000,13085,0.0,0.0,
756,2000,30021,0.0,0.0,
757,2000,31047,39.0,3.0,
758,2000,48115,84.0,22.0,
759,2000,46037,3.0,1.0,
760,2000,35011,1.0,0.0,
761,2000,22031,0.0,0.0,
762,2000,17039,22.0,3.0,
763,2000,48117,92.0,6.0,
764,2000,48117,707.0,408.0,
