,poverty_rate,fips,year,per_capita_income_2022
501,18.6,1125,2007,58991.06
502,17.3,1125,2008,59054.4
503,19.9,1125,2009,57323.54
504,15.4,1127,2002,49409.25
505,14.8,1127,2003,50389.780000000006
506,16.2,1127,2004,50909.04
507,15.6,1127,2005,51172.32
508,17.0,1127,2006,51279.58
509,19.1,1127,2007,50405.74
510,17.4,1127,2008,48898.350000000006
511,16.0,1127,2009,50117.340000000004
512,17.3,1129,2002,50392.649999999994
513,16.9,1129,2003,50228.780000000006
514,18.1,1129,2004,50149.32
515,20.2,1129,2005,50161.520000000004
516,20.1,1129,2006,49488.159999999996
517,18.7,1129,2007,50850.2
518,18.2,1129,2008,50052.600000000006
519,19.3,1129,2009,50616.020000000004
520,29.9,1131,2002,30450.75
521,28.1,1131,2003,31609.13
522,30.4,1131,2004,30703.920000000002
523,37.8,1131,2005,29498.64
524,35.5,1131,2006,29125.54
525,35.7,1131,2007,30281.5
526,30.2,1131,2008,31171.500000000004
527,34.6,1131,2009,30977.070000000003
528,18.3,1133,2002,44414.7
529,16.9,1133,2003,44162.3
530,17.2,1133,2004,44871.840000000004
531,21.8,1133,2005,44566.4
532,18.7,1133,2006,46528.74
533,16.0,1133,2007,46840.119999999995
534,18.3,1133,2008,43224.3
535,24.9,1133,2009,42554.94
536,11.2,2013,2002,63091.049999999996
537,11.9,2013,2003,63174.79
538,12.7,2013,2004,62131.68
539,16.8,2013,2005,71709.04
540,15.2,2013,2006,67399.44
541,16.9,2013,2007,79677.62
542,15.3,2013,2008,71261.1
543,13.9,2013,2009,69108.28
544,6.3,2016,2002,82226.09999999999
545,7.2,2016,2003,81090.87000000001
546,7.4,2016,2004,79045.2
547,9.2,2016,2005,91409.76
548,9.6,2016,2006,93647.31999999999
549,10.2,2016,2007,87381.12
550,9.0,2016,2008,84846.15000000001
551,9.1,2016,2009,79698.38
552,7.7,2020,2002,90952.95
553,8.7,2020,2003,88867.17
554,8.9,2020,2004,88302.24
555,9.2,2020,2005,92747.36
556,9.4,2020,2006,92552.31999999999
557,8.0,2020,2007,96355.51999999999
558,7.2,2020,2008,100434.6
559,7.6,2020,2009,98927.70000000001
560,22.8,2050,2002,55347.6
561,20.7,2050,2003,56874.86
562,20.7,2050,2004,56248.920000000006
563,20,2050,2005,69166.08
564,21.2,2050,2006,60087.76
565,21.4,2050,2007,56116.979999999996
566,21.5,2050,2008,56369.25000000001
567,20.7,2050,2009,57279.700000000004
568,8.2,2060,2002,89514.15
569,8.1,2060,2003,89960.36
570,7.6,2060,2004,90422.28
571,9.1,2060,2005,88185.84
572,8.5,2060,2006,89709.7
573,8.5,2060,2007,89381.9
574,7.8,2060,2008,90738.90000000001
