,poverty_rate,fips,year,per_capita_income_2022,total_pop,employed_persons,unemployment_rate
384,18.6,1097,2002,53448.45,398549.0,170334.0,6.5
385,18.5,1097,2003,52888.5,398082.0,168440.0,6.9
386,20,1097,2004,51777.96,397959.0,167474.0,6.5
387,20,1097,2005,54937.36,398942.0,171056.0,4.9
388,19.1,1097,2006,55754.479999999996,402916.0,174677.0,4.1
389,20.8,1097,2007,53356.5,405715.0,177341.0,4.1
390,18.6,1097,2008,55283.850000000006,409196.0,176287.0,5.9
391,18.7,1097,2009,54564.36000000001,411994.0,166932.0,10.4
392,18.3,1099,2002,46963.95,24022.0,8914.0,8.5
393,17.8,1099,2003,46733.47,23853.0,8665.0,8.3
394,18.5,1099,2004,47155.68,23769.0,8994.0,7.4
395,22.3,1099,2005,47065.28,23683.0,8976.0,6.1
396,22.0,1099,2006,46957.979999999996,23602.0,8770.0,6.0
397,23.6,1099,2007,45961.14,23437.0,8381.0,6.6
398,21.8,1099,2008,45997.200000000004,23393.0,7881.0,10.5
399,23.4,1099,2009,42360.4,23218.0,7029.0,18.0
400,17.4,1101,2002,58419.899999999994,223185.0,98616.0,5.3
401,18.0,1101,2003,57303.12,222680.0,98839.0,5.8
402,19.4,1101,2004,55660.8,223002.0,98882.0,5.7
403,17.4,1101,2005,60418.48,223608.0,100113.0,4.5
404,18.6,1101,2006,59746.119999999995,227291.0,101442.0,4.1
405,18.1,1101,2007,58502.579999999994,227888.0,101939.0,4.2
406,17.6,1101,2008,58450.950000000004,227461.0,99685.0,6.1
407,19.9,1101,2009,56285.08,227607.0,94765.0,9.6
408,12.3,1103,2002,64315.35,111766.0,51944.0,6.4
409,13.2,1103,2003,64343.65,112898.0,51834.0,6.5
410,14,1103,2004,63925.68,113006.0,52679.0,6.0
411,14,1103,2005,62835.28,113964.0,53069.0,4.5
412,16.0,1103,2006,59394.26,115491.0,53712.0,4.0
413,14.2,1103,2007,61938.979999999996,116397.0,54729.0,3.6
414,12.5,1103,2008,62483.4,117694.0,53912.0,5.4
415,15.9,1103,2009,55234.29,118954.0,50661.0,9.9
416,32.3,1105,2002,32795.4,11549.0,3403.0,11.8
417,28.7,1105,2003,33214.3,11301.0,3447.0,10.6
418,30.4,1105,2004,33758.4,11153.0,3326.0,10.0
419,34.9,1105,2005,33605.68,10881.0,3208.0,9.0
420,32.3,1105,2006,33050.02,10677.0,3289.0,8.3
421,32.7,1105,2007,34267.439999999995,10774.0,3248.0,8.6
422,31.7,1105,2008,35792.55,10722.0,3180.0,11.7
423,31.0,1105,2009,33360.87,10690.0,3043.0,18.4
424,19.7,1107,2002,43230.0,20835.0,7591.0,8.3
425,19.5,1107,2003,43300.950000000004,20527.0,7508.0,8.1
426,20.8,1107,2004,43269.72,20380.0,7430.0,7.5
427,23.3,1107,2005,43438.56,20192.0,7510.0,5.4
428,23.0,1107,2006,43416.02,20128.0,7713.0,5.0
429,22.2,1107,2007,44725.74,19989.0,7624.0,5.1
430,25.6,1107,2008,41921.55,19951.0,7345.0,7.4
431,28.0,1107,2009,40657.490000000005,19814.0,6992.0,12.6
432,22.2,1109,2002,42289.5,29695.0,12925.0,6.0
433,20.4,1109,2003,42850.15,30050.0,13616.0,5.8
